央视,#genre#
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV-11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV-15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CCTV-1,http://39.134.67.68/PLTV/88888888/224/3221226119/index.m3u8
CCTV-2,http://39.134.67.68/PLTV/88888888/224/3221226079/index.m3u8
CCTV-3,http://39.134.67.68/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4,http://39.134.67.68/PLTV/88888888/224/3221226092/index.m3u8
CCTV-5,http://39.134.67.68/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+,http://39.134.67.68/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6,http://39.134.67.68/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7,http://39.134.67.68/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8,http://39.134.67.68/PLTV/88888888/224/3221225795/index.m3u8
CCTV-9,http://39.134.67.68/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10,http://39.134.67.68/PLTV/88888888/224/3221226128/index.m3u8
